合約編號,合約名稱,廠商名稱,vendor_id,問題類型,合約狀態
COP0015-2025,大直/樂群-建築物公共安全檢查申報服務聯合議約案,中邦建築物公共安全檢查有限公司,,vendor_id 為空,生效中
COP002-2025-1,垃級回收勞務合約,佶廣環保企業有限公司,,vendor_id 為空,生效中
COP002-2025-2,廚餘回收勞務合約,峰源實業有限公司,,vendor_id 為空,生效中
COP003-2025,衛生紙耗材類年度聯合採購議約案,永豐餘消費品實業股份有限公司,,vendor_id 為空,生效中
COP005-2026-1,大直/樂群-公清人力委外聯合議約案-商場公清人力,謙潤旅館管理顧問企業社,,vendor_id 為空,生效中
COP005-2026-2,大直/樂群-公清人力委外聯合議約案-專項清潔,上善美護股份有限公司,,vendor_id 為空,生效中
COP006-2025-1,大直/樂群截油槽油脂清除聯合議約案,元順環保企業有限公司,,vendor_id 為空,生效中
COP006-2025-2,大直/樂群截油槽油脂清除聯合議約案-油脂處理費,天年環保服務有限公司,,vendor_id 為空,生效中
COP007-2025,大直/樂群 自動油脂截流攔污機保養議約案,華啟企業有限公司,,vendor_id 為空,生效中
COP008-2025,大直/樂群-冷卻水塔清洗及保養聯合議約案-每月巡檢,尚泓科技有限公司,,vendor_id 為空,生效中
COP009-2026,大直/樂群 駐衛保全 聯合議約案,台灣怡和保全股份有限公司,,vendor_id 為空,生效中
COP010-2024,大直/樂群-AED租賃聯合議約案-思傑夢想,台灣歐力士股份有限公司,,vendor_id 為空,生效中
COP011-2026,大直/樂群 植栽維護聯合議約案,耘野園藝社,,vendor_id 為空,生效中
COP012-2025,大直/樂群 消防申報聯合議約案,國介企業股份有限公司,,vendor_id 為空,生效中
COP013-2026,大直/樂群-電氣顧問及高低壓用電設備保養聯合議約案,復華機電顧問股份有限公司,,vendor_id 為空,生效中
COP014-2025,大直/樂群-冰水主機保養聯合議約案2.5.8月保,錦虹冷氣有限公司,,vendor_id 為空,生效中
COP018-2025,病媒蚊消毒聯合議約案-公區+泰市場,普迪國際有限公司,,vendor_id 為空,生效中
COP018-2026,大直/樂群 發電機保養聯合議約案-年度保養,侑泰企業有限公司,,vendor_id 為空,生效中
COP019-2024,大直/樂群-電梯年度保養維護服務聯合議約案,富士達股份有限公司,,vendor_id 為空,生效中
COP021-2024,大直/樂群-自來水箱清洗及水質化驗聯合議約案,東京都環保服務股份有限公司,,vendor_id 為空,生效中
COP022-2024,大直/樂群-污水池清理聯合議約案-商場油脂SP1,東京都環保服務股份有限公司,,vendor_id 為空,生效中
COP023-2026,大直/樂群-能源管理人員委外聯合議約案,王啟東,,vendor_id 為空,生效中
COP024-2025,工程人員駐點勞務委外案-褔群機電合約,福群機電工程股份有限公司,,vendor_id 為空,生效中
COP025-2025,影印機聯合租賃議約案,台灣富士軟片資訊股份有限公司,,vendor_id 為空,生效中
COP026-2025,大直/樂群-飲用水及製冰機檢驗聯合議約案,台灣檢驗科技股份有限公司,,vendor_id 為空,生效中
中華電信基地台設置,中華電信基地台設置,中華電信股份有限公司網路技術分公司行動北區營運,,vendor_id 為空,生效中
停車場詮營設備維護合約,停車場詮營設備維護合約,詮營股份有限公司,,vendor_id 為空,生效中
停車場電子發票合約,停車場電子發票合約,詮營股份有限公司,,vendor_id 為空,生效中
台灣大哥大基地台設置案,台灣大哥大基地台設置案,台灣大哥大股份有限公司,,vendor_id 為空,生效中
商場停車場充電椿建置案,商場停車場充電椿建置案,源點科技股份有限公司,,vendor_id 為空,生效中
樂簽-20251222-001,靜電機設備維護續簽合約,詮晟餐飲設備有限公司,,vendor_id 為空,生效中
樂簽-20260123-001,B1F停車場自動販賣機續約,松深食品股份有限公司,,vendor_id 為空,生效中
樂簽-20260327-001,2026年春大直商場地墊與香芬劑,樂清服務(股)公司,,vendor_id 為空,生效中
立保保全零用金兌換服務,立保保全零用金兌換服務,立保保全股份有限公司,,vendor_id 為空,生效中
